,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
794,795,Binance Coin,BNB,2019-09-28 23:59:59,15.9555,15.5632,15.7916,15.8514,123900186.7,2465477590.0
795,796,Binance Coin,BNB,2019-09-29 23:59:59,15.9189,15.1424,15.8542,15.3051,109712932.4,2380504960.0
796,797,Binance Coin,BNB,2019-09-30 23:59:59,15.8736,14.8661,15.3127,15.8627,124329060.1,2467228254.0
797,798,Binance Coin,BNB,2019-10-01 23:59:59,16.294,15.7824,15.8828,15.9032,125165661.0,2473533188.0
798,799,Binance Coin,BNB,2019-10-02 23:59:59,15.9712,15.6716,15.9097,15.95,106103588.1,2480818020.0
799,800,Binance Coin,BNB,2019-10-03 23:59:59,16.0058,15.4317,15.9467,15.7268,117720712.1,2446088605.0
800,801,Binance Coin,BNB,2019-10-04 23:59:59,15.904,15.5006,15.7247,15.7551,121510967.8,2450498699.0
801,802,Binance Coin,BNB,2019-10-05 23:59:59,15.8036,15.47,15.7499,15.7236,123665932.0,2445593918.0
802,803,Binance Coin,BNB,2019-10-06 23:59:59,15.75,15.2624,15.722,15.349,116659102.8,2387329910.0
803,804,Binance Coin,BNB,2019-10-07 23:59:59,16.1938,15.191,15.3392,16.1343,147393768.4,2509483159.0
804,805,Binance Coin,BNB,2019-10-08 23:59:59,16.3461,15.8891,16.1392,16.1082,135346905.4,2505415410.0
805,806,Binance Coin,BNB,2019-10-09 23:59:59,17.9657,16.0094,16.1108,17.8066,295619362.7,2769576934.0
806,807,Binance Coin,BNB,2019-10-10 23:59:59,17.946,17.1256,17.8041,17.5712,236960466.5,2732959386.0
807,808,Binance Coin,BNB,2019-10-11 23:59:59,17.626,16.7095,17.5691,16.7095,194750430.0,2598945538.0
808,809,Binance Coin,BNB,2019-10-12 23:59:59,17.5121,16.6907,16.7142,17.2779,228500830.8,2687348920.0
809,810,Binance Coin,BNB,2019-10-13 23:59:59,18.7649,17.18,17.2567,18.308,275090600.1,2847569964.0
810,811,Binance Coin,BNB,2019-10-14 23:59:59,18.6219,17.9531,18.308,18.4595,246674813.8,2871126616.0
811,812,Binance Coin,BNB,2019-10-15 23:59:59,19.1495,18.2012,18.4259,18.5447,325479444.5,2884374240.0
812,813,Binance Coin,BNB,2019-10-16 23:59:59,18.6029,17.5238,18.517,17.84,229668087.5,2774782680.0
813,814,Binance Coin,BNB,2019-10-17 23:59:59,18.7642,17.7066,17.8407,18.5703,250474297.9,2888358527.0
814,815,Binance Coin,BNB,2019-10-18 23:59:59,18.7494,17.8122,18.576,18.2542,208244557.5,2839196964.0
815,816,Binance Coin,BNB,2019-10-19 23:59:59,18.514,17.9721,18.2532,18.2885,211728667.7,2844540342.0
816,817,Binance Coin,BNB,2019-10-20 23:59:59,18.5683,17.8821,18.2948,18.4379,225458859.1,2867774149.0
817,818,Binance Coin,BNB,2019-10-21 23:59:59,18.5146,18.0572,18.4629,18.3056,188130462.7,2847185142.0
818,819,Binance Coin,BNB,2019-10-22 23:59:59,18.8013,18.1721,18.2979,18.1956,234929207.5,2830084058.0
819,820,Binance Coin,BNB,2019-10-23 23:59:59,18.3007,16.4242,18.1986,16.7112,201092098.2,2599201125.0
820,821,Binance Coin,BNB,2019-10-24 23:59:59,17.1637,16.49,16.7121,16.8916,200253301.4,2627259624.0
821,822,Binance Coin,BNB,2019-10-25 23:59:59,18.9089,16.4795,17.0723,18.6161,344418867.7,2895480470.0
822,823,Binance Coin,BNB,2019-10-26 23:59:59,19.7822,18.1814,18.6291,18.8897,292124011.9,2938042518.0
823,824,Binance Coin,BNB,2019-10-27 23:59:59,19.5862,18.5738,18.8893,19.3456,292948855.0,3008958175.0
824,825,Binance Coin,BNB,2019-10-28 23:59:59,20.9037,19.3119,19.3385,19.7583,337867337.3,3073144009.0
825,826,Binance Coin,BNB,2019-10-29 23:59:59,20.9178,19.7003,19.8136,20.4771,317609149.4,3184941705.0
826,827,Binance Coin,BNB,2019-10-30 23:59:59,20.5825,19.2299,20.493,20.087,250293832.0,3124258265.0
827,828,Binance Coin,BNB,2019-10-31 23:59:59,20.3963,19.5361,20.0993,20.0002,250225840.3,3110770519.0
828,829,Binance Coin,BNB,2019-11-01 23:59:59,20.0623,19.7795,19.9941,20.0215,198377285.3,3114078497.0
829,830,Binance Coin,BNB,2019-11-02 23:59:59,20.3987,19.8605,20.0195,20.267,273890077.7,3152261627.0
830,831,Binance Coin,BNB,2019-11-03 23:59:59,20.4326,19.8888,20.2697,20.206,257571665.6,3142781986.0
831,832,Binance Coin,BNB,2019-11-04 23:59:59,20.9156,20.1841,20.2264,20.738,296502530.4,3225517472.0
832,833,Binance Coin,BNB,2019-11-05 23:59:59,20.9221,20.448,20.7415,20.7247,263685442.3,3223447634.0
833,834,Binance Coin,BNB,2019-11-06 23:59:59,20.9153,20.2802,20.7169,20.8179,241489967.6,3237951225.0
834,835,Binance Coin,BNB,2019-11-07 23:59:59,20.9594,20.2476,20.815,20.6469,222003635.5,3211356528.0
835,836,Binance Coin,BNB,2019-11-08 23:59:59,20.693,19.4748,20.693,19.6908,184596047.0,3062638047.0
836,837,Binance Coin,BNB,2019-11-09 23:59:59,19.9846,19.6004,19.6788,19.7354,176812608.1,3069586392.0
837,838,Binance Coin,BNB,2019-11-10 23:59:59,20.6312,19.7275,19.7326,20.4818,239714468.0,3185665329.0
838,839,Binance Coin,BNB,2019-11-11 23:59:59,20.6449,19.9157,20.4799,20.1331,209454453.8,3131442373.0
839,840,Binance Coin,BNB,2019-11-12 23:59:59,20.8624,20.0948,20.1409,20.8574,227650068.4,3244098617.0
840,841,Binance Coin,BNB,2019-11-13 23:59:59,21.6357,20.7065,20.8684,21.2504,252296146.1,3305222292.0
