,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1826,1827,Ethereum,ETH,2020-08-07 23:59:59,398.249,367.9355,395.2269,379.5129,12751687083.9109,42538578850.21
1827,1828,Ethereum,ETH,2020-08-08 23:59:59,393.9874,377.3497,379.5516,393.9874,9342060531.0245,44166324645.9802
1828,1829,Ethereum,ETH,2020-08-09 23:59:59,399.7371,385.8307,395.3052,391.1205,9451065592.3283,43850292041.2966
1829,1830,Ethereum,ETH,2020-08-10 23:59:59,399.3759,391.0415,391.0415,395.8876,11685827893.4464,44390142137.3961
1830,1831,Ethereum,ETH,2020-08-11 23:59:59,398.4789,370.8606,395.8947,380.3841,12792218736.9704,42656945169.3968
1831,1832,Ethereum,ETH,2020-08-12 23:59:59,391.3123,367.9236,380.0638,391.0242,12408772745.1829,43855501071.6031
1832,1833,Ethereum,ETH,2020-08-13 23:59:59,432.9046,379.7109,390.8381,428.7418,18480303525.5272,48091569051.6055
1833,1834,Ethereum,ETH,2020-08-14 23:59:59,444.5778,423.3459,428.6773,437.3978,15064589987.0928,49068474083.0404
1834,1835,Ethereum,ETH,2020-08-15 23:59:59,441.7546,429.8746,437.563,433.3549,12416067894.221,48620820124.5334
1835,1836,Ethereum,ETH,2020-08-16 23:59:59,436.2658,415.0863,433.3506,433.7866,12168816874.4955,48675162266.8596
1836,1837,Ethereum,ETH,2020-08-17 23:59:59,442.735,422.6473,433.9738,429.5313,13227089409.9208,48203426750.7282
1837,1838,Ethereum,ETH,2020-08-18 23:59:59,432.5803,419.6741,429.6696,423.6693,11978984078.5704,47551407033.0556
1838,1839,Ethereum,ETH,2020-08-19 23:59:59,427.0246,396.6783,423.7386,406.4638,13137391166.8496,45625864918.4277
1839,1840,Ethereum,ETH,2020-08-20 23:59:59,418.7344,404.0261,406.7589,416.4398,10043032427.1609,46751356941.1
1840,1841,Ethereum,ETH,2020-08-21 23:59:59,418.638,387.4411,416.1488,389.1264,11781796374.0018,43690315907.4493
1841,1842,Ethereum,ETH,2020-08-22 23:59:59,396.4666,382.8146,389.0311,395.8351,10131847985.2902,44448918221.5718
1842,1843,Ethereum,ETH,2020-08-23 23:59:59,396.4904,385.0398,395.5628,391.3845,8137303969.5826,43954518396.1863
